model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,2x2,2,0.0275,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,3x1,3,0.105,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,3x2,4,0.13,3x2 → 6x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,4x1,5,0.3075,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,5x1,6,0.4125,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,6x1,7,0.5125,3x2 → 6x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,7x1,8,0.5625,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,8x1,9,0.565,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,9x1,10,0.62,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,10x1,11,0.635,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,No budget,12,0.56,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,1x4,0,0.2525,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,2x1,1,0.3375,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,2x2,2,0.25,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,3x1,3,0.3675,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,3x2,4,0.34,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,4x1,5,0.3875,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,5x1,6,0.395,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,6x1,7,0.395,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,7x1,8,0.3825,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,8x1,9,0.4525,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,9x1,10,0.4,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,10x1,11,0.3425,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,1,No budget,12,0.39,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,1x4,0,0.0975,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,2x1,1,0.09,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,2x2,2,0.1225,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,3x1,3,0.1425,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,3x2,4,0.165,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,4x1,5,0.2125,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,5x1,6,0.2325,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,6x1,7,0.2425,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,7x1,8,0.24,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,8x1,9,0.2525,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,9x1,10,0.29,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,10x1,11,0.275,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,2,No budget,12,0.2475,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,1x4,0,0.015,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,2x1,1,0.0075,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,2x2,2,0.055,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,3x1,3,0.045,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,3x2,4,0.095,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,4x1,5,0.0975,1x4 → 2x2 → 4x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,5x1,6,0.145,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,6x1,7,0.1425,3x2 → 6x1
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,7x1,8,0.1775,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,8x1,9,0.195,
Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,Qwen3-Next-80B,2,3,9x1,10,0.1775,
