dataset,guesser_label,examiner_label,turn,pass_mass,n
thing,GPT-5-mini,GPT-5-mini,13,0.6923381815539215,173
thing,GPT-5-mini,GPT-5-mini,14,0.7074948612255888,165
thing,GPT-5-mini,GPT-5-mini,15,0.7153172877533185,156
thing,GPT-5-mini,GPT-5-mini,16,0.736257635750914,149
thing,GPT-5-mini,GPT-5-mini,17,0.7357535680387983,144
thing,GPT-5-mini,GPT-5-mini,18,0.7745800289970806,134
thing,GPT-5-mini,GPT-5-mini,19,0.7444843731546718,125
thing,GPT-5-mini,GPT-5-mini,20,0.7737647405586896,119
thing,GPT-OSS-20B,GPT-5-mini,1,0.14443124182589595,200
thing,GPT-OSS-20B,GPT-5-mini,2,0.13037663845144254,200
thing,GPT-OSS-20B,GPT-5-mini,3,0.21153227659542354,200
thing,GPT-OSS-20B,GPT-5-mini,4,0.29256359431973683,200
thing,GPT-OSS-20B,GPT-5-mini,5,0.3564604371213384,200
thing,GPT-OSS-20B,GPT-5-mini,6,0.38567804175208154,200
thing,GPT-OSS-20B,GPT-5-mini,7,0.40210774537843863,200
thing,GPT-OSS-20B,GPT-5-mini,8,0.4319882512452984,199
thing,GPT-OSS-20B,GPT-5-mini,9,0.44687370294945666,198
thing,GPT-OSS-20B,GPT-5-mini,10,0.4551836280986334,196
thing,GPT-OSS-20B,GPT-5-mini,11,0.46052161936391633,196
thing,GPT-OSS-20B,GPT-5-mini,12,0.48648525436864326,196
thing,GPT-OSS-20B,GPT-5-mini,13,0.48467702274474034,192
thing,GPT-OSS-20B,GPT-5-mini,14,0.4790453500762166,191
thing,GPT-OSS-20B,GPT-5-mini,15,0.510469772549407,189
thing,GPT-OSS-20B,GPT-5-mini,16,0.5117370360778175,186
thing,GPT-OSS-20B,GPT-5-mini,17,0.5122404482139821,183
thing,GPT-OSS-20B,GPT-5-mini,18,0.554450280837612,178
thing,GPT-OSS-20B,GPT-5-mini,19,0.5561514881134386,170
thing,GPT-OSS-20B,GPT-5-mini,20,0.5855926668455258,118
thing,Qwen3-30B,GPT-5-mini,1,0.15380988330556142,200
thing,Qwen3-30B,GPT-5-mini,2,0.14479197566543195,200
thing,Qwen3-30B,GPT-5-mini,3,0.22666046966630915,200
thing,Qwen3-30B,GPT-5-mini,4,0.29630665931123223,200
thing,Qwen3-30B,GPT-5-mini,5,0.34110908356332653,200
thing,Qwen3-30B,GPT-5-mini,6,0.3662985138139144,198
thing,Qwen3-30B,GPT-5-mini,7,0.40430758807670486,198
thing,Qwen3-30B,GPT-5-mini,8,0.40365790960576836,196
thing,Qwen3-30B,GPT-5-mini,9,0.37010731201223046,194
thing,Qwen3-30B,GPT-5-mini,10,0.3970121998743914,190
thing,Qwen3-30B,GPT-5-mini,11,0.3783247588431797,185
thing,Qwen3-30B,GPT-5-mini,12,0.4085378322766152,178
thing,Qwen3-30B,GPT-5-mini,13,0.39088747101434307,172
thing,Qwen3-30B,GPT-5-mini,14,0.36132669816152807,171
thing,Qwen3-30B,GPT-5-mini,15,0.388118865503725,168
thing,Qwen3-30B,GPT-5-mini,16,0.36767936076147784,164
thing,Qwen3-30B,GPT-5-mini,17,0.3750111216923571,157
thing,Qwen3-30B,GPT-5-mini,18,0.3662239475437996,151
thing,Qwen3-30B,GPT-5-mini,19,0.3390744151149888,148
thing,Qwen3-30B,GPT-5-mini,20,0.35357333624906107,143
thing,Qwen3-4B,GPT-5-mini,1,0.15240682470315037,200
thing,Qwen3-4B,GPT-5-mini,2,0.1289094109303489,200
thing,Qwen3-4B,GPT-5-mini,3,0.1551730637490207,200
thing,Qwen3-4B,GPT-5-mini,4,0.2151359061956979,200
thing,Qwen3-4B,GPT-5-mini,5,0.26717411458361395,200
thing,Qwen3-4B,GPT-5-mini,6,0.31811193172503616,200
thing,Qwen3-4B,GPT-5-mini,7,0.35152648722412155,198
thing,Qwen3-4B,GPT-5-mini,8,0.36746401929922395,198
thing,Qwen3-4B,GPT-5-mini,9,0.41471455526077966,196
thing,Qwen3-4B,GPT-5-mini,10,0.44538051728754935,195
thing,Qwen3-4B,GPT-5-mini,11,0.43930907657005264,194
thing,Qwen3-4B,GPT-5-mini,12,0.49887330625160853,193
thing,Qwen3-4B,GPT-5-mini,13,0.5038819227089301,189
thing,Qwen3-4B,GPT-5-mini,14,0.5580380110977449,187
thing,Qwen3-4B,GPT-5-mini,15,0.5668539666588864,184
thing,Qwen3-4B,GPT-5-mini,16,0.5629963126842602,181
thing,Qwen3-4B,GPT-5-mini,17,0.5998049653284523,181
thing,Qwen3-4B,GPT-5-mini,18,0.6074762542346498,174
thing,Qwen3-4B,GPT-5-mini,19,0.5806483315863964,163
